;GDX_materials;XLB_materials;VAW_materials;VFH_financials;XLF_financials;KRE_financials;VCR_consumer_disc;XLY_consumer_disc;IYC_consumer_disc;VDE_energy;XLE_energy;XOP_energy;VHT_healthcare;IBB_healthcare;XLV_healthcare;VPU_utilities;IDU_utilities;XLU_utilities;IYZ_telecom;VOX_telecom;IXP_telecom;VDC_consumer_staples;IEV_consumer_staples;XLP_consumer_staples;VIS_industrials;ITA_industrials;XLI_industrials;QQQ_tech;XLK_tech;VGT_tech;RWR_real_estate;VNQ_real_estate;IYR_real_estate;T10Y2Y;FEDFUNDS;Inverted
2006-07-31;38.759998;30.9;61.939999;58.759998;26.872461;48.619999;51.09;32.279999;;84.66999799999998;58.650002;39.849998;54.450001;23.83;31.889999;70.900002;82.790001;33.84;26.190001;63.290001;53.970001;59.75;46.575001;24.57;59.110001;47.5;31.889999;37.099998;19.799999;44.330002;78.75;68.879997;73.849998;-0.031000000000000007;5.24;1
2006-08-31;40.59;31.83;63.630001;59.619999;27.189278;48.970001;52.330002;32.919998;;80.889999;55.669998;38.639999;55.970001;24.58;32.799999;72.720001;85.099998;34.77;26.809999;65.389999;54.799999;62.0;47.974998;25.52;59.810001;47.650002;32.25;38.869999;21.190001;47.689999;81.269997;71.279999;76.050003;-0.02695652173913044;5.25;1
2006-09-30;35.650002;31.639999;63.84;61.490002;28.123476;48.84;55.419998;34.950001;;77.900002;53.450001;35.529999;56.630001;24.593334;33.189999;70.690002;82.879997;33.990002000000004;27.68;68.370003;57.700001;62.119999;48.294998;25.379999;61.740002;48.82;33.34;40.650002;22.0;49.450001;82.150002;72.0;77.150002;-0.05000000000000001;5.25;1
2006-10-31;37.959999;33.540001000000004;67.809998;63.110001;28.781479;48.799999;58.900002;37.209999;;81.529999;55.73;37.66;57.139999;26.52;33.299999;74.529999;87.300003;35.79000100000001;28.700001;70.870003;61.330002;63.360001;50.174999;25.83;63.799999;50.700001;34.279999;42.580002;22.870001;51.419998;87.099998;76.339996;82.150002;-0.06666666666666668;5.25;1
2006-11-30;41.98;35.0;71.199997;63.919998;28.984566;49.619999;60.029999;37.68;;88.589996;60.509998;41.209999;57.119999;26.693333000000006;33.259998;76.739998;89.449997;36.740002;28.52;71.559998;62.18;63.209999;51.974998;25.610001;65.650002;52.799999;35.119999;44.040001;23.52;53.209999;91.370003;79.989998;85.949997;-0.14523809523809522;5.25;1
2006-12-31;39.91;34.84;70.510002;65.5;29.845654;50.119999;60.799999;38.360001;;85.010002;58.630001;38.07;56.939999;25.92;33.490002000000004;76.809998;89.870003;36.720001;29.65;73.510002;63.310001;63.84;52.485001;26.120001;65.43;53.439999;35.009998;43.16;23.26;52.529999;87.849998;77.0;83.349998;-0.109;5.24;1
2007-01-31;39.599998;36.25;74.379997;66.150002;30.121853;49.360001;62.720001;39.459999;;84.08000200000002;58.09;39.220001;58.830002;26.613333;34.509998;76.75;89.620003;36.59;30.75;76.800003;64.849998;65.239998;53.084999;26.65;66.870003;55.439999;35.74000200000001;44.07;23.73;53.34;95.669998;83.760002;91.400002;-0.11666666666666665;5.25;1
2007-02-28;39.990002;37.220001;76.279999;64.230003;29.203899;48.919998;61.27;38.279999;;82.910004;56.900002;38.66;57.639999;25.743334;33.709999;80.309998;93.669998;38.529999;30.6;75.739998;64.589996;64.300003;52.400002;26.24;66.519997;55.450001;35.34;43.330002;23.09;52.16;93.389999;81.5;88.129997;-0.1263157894736842;5.26;1
2007-03-31;39.57;38.049999;77.760002;63.439999;28.943949;48.119999;61.099998;38.029999;;88.160004;60.279999;40.73;57.810001;25.26;33.650002;83.33000200000002;97.110001;39.700001;31.120001;76.68;65.690002;65.650002;54.169998;26.65;66.800003;56.52;35.549999;43.529999;23.32;52.380001;90.449997;79.349998;85.239998;-0.0090909090909091;5.26;1
2007-05-31;39.16;40.900002;84.75;67.199997;30.787977;47.580002;64.540001;40.099998;;99.790001;68.300003;46.5;62.43;27.126667;36.73;87.5;101.989998;41.84;34.630001;84.300003;72.300003;68.699997;58.700001;27.77;73.900002;62.470001;39.130001;47.41;25.65;57.290001;90.349998;78.949997;85.620003;-0.02;5.25;1
